,Rank 1,Rank 2,Rank 3,Did Not Rank
Annie Young,6941.00,12291.00,15666.00,30302.00
Bob Fine,8089.00,10846.00,12712.00,33256.00
David Wahstedt,2807.00,3866.00,4861.00,41107.00
John Butler,1114.00,2156.00,3071.00,42897.00
John Erwin,6376.00,10370.00,12852.00,33116.00
Mary Merrill Anderson,5394.00,9703.00,13270.00,32698.00
Nancy Bernard,2024.00,3998.00,6002.00,39966.00
Tom Nordyke,3716.00,7526.00,11890.00,34078.00
writeIns,194.00,273.00,334.00,45634.00
