,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
Andrew Sullivan,6.31,10.79,13.82,86.18,100.00
Bill Barnes,4.24,8.41,14.00,86.00,100.00
Brett Wheeler,2.12,4.40,7.07,92.93,100.00
Dan Kalb,3.56,9.75,14.83,85.17,100.00
Emmett Gilman,1.00,2.23,3.50,96.50,100.00
Francis Somesel,0.94,2.13,3.34,96.66,100.00
H. Brown,0.15,0.41,0.77,99.23,100.00
Jim Siegel,3.92,6.97,9.76,90.24,100.00
Joseph Blue,2.04,3.68,5.15,94.85,100.00
Julian Davis,1.06,2.43,4.07,95.93,100.00
Lisa Feldstein,8.30,18.10,31.78,68.22,100.00
Michael E. O'connor,2.21,4.48,6.46,93.54,100.00
Nick Waugh,7.71,14.71,20.27,79.73,100.00
Patrick M. Ciocca,0.23,0.56,1.08,98.92,100.00
Phillip House,0.16,0.36,0.73,99.27,100.00
Phoenix Streets,1.67,3.84,6.20,93.80,100.00
Rob Anderson,0.86,1.65,3.08,96.92,100.00
Robert Haaland,13.05,27.81,35.06,64.94,100.00
Ross Mirkarimi,25.34,35.48,42.02,57.98,100.00
Susan C. King,2.49,5.98,10.25,89.75,100.00
Tys Sniffen,1.75,3.81,6.29,93.71,100.00
Vivian Wilder,0.33,0.97,1.92,98.08,100.00
