"condorcet winner: Galluccio, Anthony D.","Bellew, Carole K.","Davis, Henrietta","DeBergalis, Matt S.","Decker, Marjorie C.","Dixon, Vincent Lawrence","Galluccio, Anthony D.","Greenwood, Dan J.","Hall, Robert L., Sr.","Kelley, Craig A.","King, Ethridge A., Jr.","LaTremouille, Robert J.","Maher, David P.","Murphy, Brian","Pitkin, John","Reeves, Kenneth E.","Simmons, Denise","Smith, Aimee Louise","Sullivan, Michael A.","Taymorberry, Laurie","Toomey, Timothy J., Jr.",writeIns
"Bellew, Carole K.",,29.45,60.55,34.15,81.73,29.72,85.71,79.25,55.75,60.99,80.44,38.04,34.74,50.93,39.71,35.18,65.23,33.64,63.53,37.32,97.21
"Davis, Henrietta",70.55,,76.06,55.61,89.77,46.11,91.79,87.77,72.87,79.04,89.13,57.18,57.01,70.36,58.17,57.13,80.34,50.32,81.61,54.91,98.29
"DeBergalis, Matt S.",39.45,23.94,,29.12,76.50,25.20,81.72,73.47,49.49,52.79,75.29,32.29,29.53,44.55,34.00,29.16,59.21,28.46,55.78,32.41,96.74
"Decker, Marjorie C.",65.85,44.39,70.88,,89.18,43.58,91.51,87.54,71.49,74.76,88.22,54.73,53.84,67.55,57.40,52.90,80.00,47.67,78.81,53.35,98.26
"Dixon, Vincent Lawrence",18.27,10.23,23.50,10.82,,9.62,61.88,49.18,25.26,26.51,51.96,13.37,13.22,21.33,13.96,12.09,31.68,10.31,28.31,12.75,92.40
"Galluccio, Anthony D.",70.28,53.89,74.80,56.42,90.38,,93.57,91.34,75.43,78.02,90.83,67.50,61.56,72.71,63.27,59.27,81.55,60.53,79.54,66.36,98.76
"Greenwood, Dan J.",14.29,8.21,18.28,8.49,38.12,6.43,,44.39,20.94,22.17,46.84,10.59,10.56,18.02,11.20,10.12,27.27,8.37,23.73,10.11,90.90
"Hall, Robert L., Sr.",20.75,12.23,26.53,12.46,50.82,8.66,55.61,,28.44,29.47,58.23,14.64,15.60,25.33,15.36,13.90,37.27,11.52,32.65,14.01,92.78
"Kelley, Craig A.",44.25,27.13,50.51,28.51,74.74,24.57,79.06,71.56,,54.33,78.26,33.51,32.03,47.73,35.44,32.07,61.44,29.51,58.34,33.61,96.75
"King, Ethridge A., Jr.",39.01,20.96,47.21,25.24,73.49,21.98,77.83,70.53,45.67,,76.43,31.13,27.91,44.86,29.68,24.65,58.90,27.22,55.53,31.46,96.48
"LaTremouille, Robert J.",19.56,10.87,24.71,11.78,48.04,9.17,53.16,41.77,21.74,23.57,,14.34,14.16,22.88,14.89,13.36,33.82,11.52,30.74,13.76,92.25
"Maher, David P.",61.96,42.82,67.71,45.27,86.63,32.50,89.41,85.36,66.49,68.87,85.66,,51.86,65.08,53.42,49.44,75.67,44.59,73.08,52.59,98.22
"Murphy, Brian",65.26,42.99,70.47,46.16,86.78,38.44,89.44,84.40,67.97,72.09,85.84,48.14,,66.83,54.14,51.27,77.08,44.40,78.02,49.92,98.13
"Pitkin, John",49.07,29.64,55.45,32.45,78.67,27.29,81.98,74.67,52.27,55.14,77.12,34.92,33.17,,38.98,35.39,64.87,32.38,62.67,36.41,97.02
"Reeves, Kenneth E.",60.29,41.83,66.00,42.60,86.04,36.73,88.80,84.64,64.56,70.32,85.11,46.58,45.86,61.02,,48.94,76.16,44.21,73.10,49.56,97.92
"Simmons, Denise",64.82,42.87,70.84,47.10,87.91,40.73,89.88,86.10,67.93,75.35,86.64,50.56,48.73,64.61,51.06,,80.05,47.60,81.02,52.97,98.17
"Smith, Aimee Louise",34.77,19.66,40.79,20.00,68.32,18.45,72.73,62.73,38.56,41.10,66.18,24.33,22.92,35.13,23.84,19.95,,22.09,49.77,25.30,95.28
"Sullivan, Michael A.",66.36,49.68,71.54,52.33,89.69,39.47,91.63,88.48,70.49,72.78,88.48,55.41,55.60,67.62,55.79,52.40,77.91,,76.71,61.31,98.43
"Taymorberry, Laurie",36.47,18.39,44.22,21.19,71.69,20.46,76.27,67.35,41.66,44.47,69.26,26.92,21.98,37.33,26.90,18.98,50.23,23.29,,28.19,95.81
"Toomey, Timothy J., Jr.",62.68,45.09,67.59,46.65,87.25,33.64,89.89,85.99,66.39,68.54,86.24,47.41,50.08,63.59,50.44,47.03,74.70,38.69,71.81,,98.09
writeIns,2.79,1.71,3.26,1.74,7.60,1.24,9.10,7.22,3.25,3.52,7.75,1.78,1.87,2.98,2.08,1.83,4.72,1.57,4.19,1.91,
