"condorcet winner: Davis, Henrietta","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Janik, Jonathan S.","Kelley, Craig A.","Maher, David P.","Moore, M. Kevin","Moree, Gregg J.","Murphy, Brian","Podgers, Kathy","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Sullivan, Edward J.","Toomey, Timothy J., Jr.","Ward, Larry W.",Write-In 1,Write-In 2,Write-In 3,Write-In 4,Write-In 5,Write-In 6,Write-In 7,Write-In 8,Write-In 9
"Davis, Henrietta",,57.75,71.66,84.41,65.27,61.98,79.79,89.12,58.57,89.72,63.64,63.03,55.41,67.49,59.98,68.46,99.10,99.81,99.90,99.90,99.89,99.89,99.90,99.92,99.93
"Decker, Marjorie C.",42.25,,69.53,80.66,60.68,56.88,77.80,88.22,53.81,87.95,60.80,58.38,50.07,65.06,56.10,64.11,98.89,99.80,99.91,99.89,99.89,99.91,99.91,99.92,99.94
"Galluccio, Anthony D.",28.34,30.47,,63.05,42.38,38.20,61.35,78.14,36.08,74.93,39.38,40.21,31.21,47.17,34.94,45.04,98.04,99.64,99.87,99.87,99.87,99.84,99.87,99.87,99.90
"Janik, Jonathan S.",15.59,19.34,36.95,,26.45,26.96,50.15,69.28,21.34,65.71,30.42,23.08,19.23,35.91,26.46,30.26,97.24,99.42,99.71,99.78,99.74,99.71,99.74,99.74,99.78
"Kelley, Craig A.",34.73,39.32,57.62,73.55,,48.70,72.05,85.19,44.27,83.12,51.62,50.07,41.25,58.11,48.04,56.70,98.70,99.70,99.87,99.89,99.89,99.89,99.89,99.89,99.90
"Maher, David P.",38.02,43.12,61.80,73.04,51.30,,74.27,86.93,47.98,84.72,54.70,51.89,43.71,64.18,51.79,58.01,98.61,99.72,99.86,99.90,99.88,99.86,99.88,99.88,99.90
"Moore, M. Kevin",20.21,22.20,38.65,49.85,27.95,25.73,,73.20,25.57,68.77,28.98,29.43,20.07,37.86,27.95,32.79,97.34,99.47,99.79,99.79,99.79,99.75,99.79,99.79,99.82
"Moree, Gregg J.",10.88,11.78,21.86,30.72,14.81,13.07,26.80,,14.44,48.32,17.59,17.37,12.06,21.40,14.20,19.04,95.22,99.07,99.59,99.65,99.59,99.59,99.59,99.59,99.65
"Murphy, Brian",41.43,46.19,63.92,78.66,55.73,52.02,74.43,85.56,,86.30,58.52,57.53,48.74,63.15,54.24,63.20,98.76,99.73,99.89,99.89,99.89,99.89,99.90,99.90,99.92
"Podgers, Kathy",10.28,12.05,25.07,34.29,16.88,15.28,31.23,51.68,13.70,,19.21,18.64,12.38,24.56,16.82,21.80,95.66,99.08,99.62,99.62,99.57,99.57,99.57,99.62,99.67
"Reeves, Kenneth E.",36.36,39.20,60.62,69.58,48.38,45.30,71.02,82.41,41.48,80.79,,48.77,40.39,58.08,47.78,55.47,98.53,99.74,99.88,99.86,99.86,99.86,99.88,99.90,99.92
"Seidel, Sam",36.97,41.62,59.79,76.92,49.93,48.11,70.57,82.63,42.47,81.36,51.23,,43.26,59.30,49.99,60.44,98.78,99.74,99.87,99.89,99.87,99.87,99.87,99.87,99.89
"Simmons, E. Denise",44.59,49.93,68.79,80.77,58.75,56.29,79.93,87.94,51.26,87.62,59.61,56.74,,67.30,58.61,68.23,98.98,99.81,99.88,99.88,99.87,99.87,99.88,99.90,99.91
"Sullivan, Edward J.",32.51,34.94,52.83,64.09,41.89,35.82,62.14,78.60,36.85,75.44,41.92,40.70,32.70,,38.70,48.53,98.06,99.64,99.85,99.85,99.85,99.85,99.85,99.85,99.88
"Toomey, Timothy J., Jr.",40.02,43.90,65.06,73.54,51.96,48.21,72.05,85.80,45.76,83.18,52.22,50.01,41.39,61.30,,58.03,98.65,99.75,99.87,99.87,99.85,99.84,99.85,99.87,99.89
"Ward, Larry W.",31.54,35.89,54.96,69.74,43.30,41.99,67.21,80.96,36.80,78.20,44.53,39.56,31.77,51.47,41.97,,98.51,99.73,99.89,99.89,99.89,99.89,99.89,99.89,99.89
Write-In 1,0.90,1.11,1.96,2.76,1.30,1.39,2.66,4.78,1.24,4.34,1.47,1.22,1.02,1.94,1.35,1.49,,97.17,100.00,100.00,100.00,99.04,100.00,100.00,100.00
Write-In 2,0.19,0.20,0.36,0.58,0.30,0.28,0.53,0.93,0.27,0.92,0.26,0.26,0.19,0.36,0.25,0.27,2.83,,95.00,94.74,95.00,90.48,95.00,95.00,95.00
Write-In 3,0.10,0.09,0.13,0.29,0.13,0.14,0.21,0.41,0.11,0.38,0.12,0.13,0.12,0.15,0.13,0.11,0.00,5.00,,90.00,90.00,81.82,90.00,100.00,100.00
Write-In 4,0.10,0.11,0.13,0.22,0.11,0.10,0.21,0.35,0.11,0.38,0.14,0.11,0.12,0.15,0.13,0.11,0.00,5.26,10.00,,88.89,80.00,88.89,88.89,88.89
Write-In 5,0.11,0.11,0.13,0.26,0.11,0.12,0.21,0.41,0.11,0.43,0.14,0.13,0.13,0.15,0.15,0.11,0.00,5.00,10.00,11.11,,90.00,100.00,100.00,100.00
Write-In 6,0.11,0.09,0.16,0.29,0.11,0.14,0.25,0.41,0.11,0.43,0.14,0.13,0.13,0.15,0.16,0.11,0.96,9.52,18.18,20.00,10.00,,100.00,100.00,100.00
Write-In 7,0.10,0.09,0.13,0.26,0.11,0.12,0.21,0.41,0.10,0.43,0.12,0.13,0.12,0.15,0.15,0.11,0.00,5.00,10.00,11.11,0.00,0.00,,100.00,100.00
Write-In 8,0.08,0.08,0.13,0.26,0.11,0.12,0.21,0.41,0.10,0.38,0.10,0.13,0.10,0.15,0.13,0.11,0.00,5.00,0.00,11.11,0.00,0.00,0.00,,100.00
Write-In 9,0.07,0.06,0.10,0.22,0.10,0.10,0.18,0.35,0.08,0.33,0.08,0.11,0.09,0.12,0.11,0.11,0.00,5.00,0.00,11.11,0.00,0.00,0.00,0.00,
