contest_name,place,state,year,date,office,rcv_type,exhaust_on_overvote,exhaust_on_repeated_skipped_rankings,contest_rank_limit,number_of_winners,tabulation_num,winner,unique_id,win_threshold,number_of_candidates,number_of_rounds,winners_consensus_value,total_ballots,first_round_active_votes,final_round_active_votes,total_fully_ranked,ranked_single,ranked_multiple,ranked_3_or_more,total_undervote,first_round_overvote,total_ballots_with_overvote,total_pretally_exhausted,total_posttally_exhausted,total_posttally_exhausted_by_overvote,total_posttally_exhausted_by_skipped_rankings,total_posttally_exhausted_by_abstention,total_posttally_exhausted_by_rank_limit,includes_duplicate_ranking,includes_skipped_ranking,total_irregular
,,,,,,,,,The number of rankings allowed on the ballot.,Number of winners a contest had.,Tabulation number,The winner(s) of the election.,,"Election threshold, if static, otherwise NA","The number of candidates on the ballot, not including write-ins.",Number of rounds in the tabulation.,The percentage of valid first round votes that rank any winner in the top 3.,This includes ballots with no marks. (weighted),The number of votes that were awarded to any candidate in the first round. (weighted),The number of votes that were awarded to any candidate in the final round. (weighted),"The number of voters that have validly used all available rankings on the ballot, or that have validly ranked all non-write-in candidates. (weighted)",The number of voters that validly used only a single ranking. (weighted),The number of voters that validly use more than one ranking. (weighted),The number of voters that validly used 3 or more rankings. (weighted),Ballots completely made up of skipped rankings (no marks). (weighted),"The number of ballots with an overvote before any valid ranking. (weighted) Note that this is not the same as ""exhausted by overvote"". This is because some jurisdictions (Maine) discard any ballot beginning with two skipped rankings, and call this ballot as exhausted by skipped rankings, even if the skipped rankings are followed by an overvote. Other jursidictions (Minneapolis) simply skip over overvotes in a ballot.",Number of ballots with at least one overvote. Not necessarily cause of exhaustion. (weighted),Number of ballots that were exhausted prior to the first round count. (weighted),Number of ballots (excluding undervotes) that do not rank a finalist or were exhausted from overvotes/skipped ranks rules after being active in the first round. (weighted),Number of ballots exhausted due to overvote that were initially active in the first round. Only applicable to certain contests. (weighted),Number of ballots exhausted due to repeated skipped rankings. Only applicable to certain contests.(weighted),Number of initially (reached first round count) active ballots exhausted after all marked rankings used and no finalists are present on the ballot. (weighted),Number of initially (reached first round count) active ballots exhausted after all marked rankings used and no finalists are present on the ballot. Ballots are only considered as exhausted by rank limit if the final rank on the ballot was marked and the contest imposed a restrictive rank limit on voters. (weighted),The number of ballots that rank the same candidate more than once. (weighted),The number of ballots that have an skipped ranking followed by any other marked ranking. (weighted),"Number of ballots that either had a multiple ranking, overvote, or a skipped ranking (only those followed by a mark). This includes ballots even where the irregularity was not the cause of exhaustion. (weighted)"
Cambridge City Council 2001,Cambridge,MA,2001,11/6/2001,City Council,stv_whole_ballot,False,False,19,9,1,"Galluccio, Anthony D., Davis, Henrietta, Murphy, Brian, Sullivan, Michael A., Decker, Marjorie C., Simmons, Denise, Toomey, Timothy J., Jr., Reeves, Kenneth E., Maher, David P.",Cambridge_11062001_CityCouncil_tab1,1713.0,19,19,96.75931332476935,17688.0,17126.0,15767.0,443.0,1314.0,15812.0,14460.0,199.0,533.0,749.0,363.0,1359.0,0.0,0.0,1359.0,0.0,0.0,866.0,1414.0
Cambridge City Council 2003,Cambridge,MA,2003,11/4/2003,City Council,stv_whole_ballot,False,False,20,9,1,"Galluccio, Anthony D., Davis, Henrietta, Sullivan, Michael A., Decker, Marjorie C., Murphy, Brian, Toomey, Timothy J., Jr., Reeves, Kenneth E., Simmons, Denise, Maher, David P.",Cambridge_11042003_CityCouncil_tab1,2009.0,20,19,92.19123505976096,20958.0,20080.0,18338.0,588.0,1658.0,18422.0,16679.0,421.0,641.0,893.0,457.0,1742.0,0.0,0.0,1742.0,0.0,0.0,1049.0,1709.0
Cambridge School Committee 2003,Cambridge,MA,2003,11/4/2003,School Committee,stv_whole_ballot,False,False,8,6,1,"Walser, Nancy, Fantini, Alfred B., Mcgovern, Marc C., Lummis, Ben, Harding, Richard, Jr., Grassi, Joseph G.",Cambridge_11042003_SchoolCommittee_tab1,2672.0,8,8,98.2351053588619,20908.0,18698.0,18193.0,1587.0,3366.0,15332.0,12211.0,1835.0,510.0,651.0,375.0,505.0,0.0,0.0,505.0,0.0,0.0,459.0,974.0
Cambridge City Council 2005,Cambridge,MA,2005,11/8/2005,City Council,stv_whole_ballot,False,False,18,9,1,"Galluccio, Anthony D., Sullivan, Michael A., Decker, Marjorie C., Davis, Henrietta, Toomey, Timothy J., Jr., Simmons, Denise, Murphy, Brian, Reeves, Kenneth E., Kelley, Craig A.",Cambridge_11082005_CityCouncil_tab1,1608.0,18,19,96.28500311138768,16202.0,16070.0,14923.0,572.0,1201.0,14869.0,13510.0,87.0,69.0,125.0,45.0,1147.0,0.0,0.0,1147.0,0.0,0.0,489.0,577.0
Cambridge School Committee 2005,Cambridge,MA,2005,11/8/2005,School Committee,stv_whole_ballot,False,False,8,6,1,"Nolan, Patricia M., Fantini, Alfred B., Walser, Nancy, Harding, Richard, Jr., Grassi, Joseph G., Schuster, Luc",Cambridge_11082005_SchoolCommittee_tab1,2211.0,8,8,96.92954104718811,16189.0,15470.0,15190.0,1541.0,2461.0,13009.0,10107.0,676.0,60.0,83.0,43.0,280.0,0.0,0.0,280.0,0.0,0.0,238.0,303.0
Cambridge City Council 2007,Cambridge,MA,2007,11/6/2007,City Council,stv_whole_ballot,False,False,16,9,1,"Davis, Henrietta, Toomey, Timothy J., Jr., Maher, David P., Reeves, Kenneth E., Decker, Marjorie C., Murphy, Brian, Simmons, E. Denise, Seidel, Sam, Kelley, Craig A.",Cambridge_11062007_CityCouncil_tab1,1364.0,16,16,96.17105552703,13721.0,13633.0,12587.0,548.0,1082.0,12551.0,11320.0,58.0,48.0,73.0,30.0,1046.0,0.0,0.0,1046.0,0.0,0.0,392.0,444.0
Cambridge School Committee 2007,Cambridge,MA,2007,11/6/2007,School Committee,stv_whole_ballot,False,False,9,6,1,"Mcgovern, Marc C., Fantini, Alfred B., Nolan, Patricia M., Schuster, Luc, Tauber, Nancy, Grassi, Joseph G.",Cambridge_11062007_SchoolCommittee_tab1,1897.0,9,9,95.29978909310033,13709.0,13276.0,12202.0,1101.0,2009.0,11267.0,8997.0,405.0,45.0,64.0,28.0,1074.0,0.0,0.0,1074.0,0.0,0.0,210.0,260.0
Cambridge City Council 2009,Cambridge,MA,2009,11/3/2009,City Council,stv_whole_ballot,False,False,20,9,1,"Davis, Henrietta, Simmons, E. Denise, Toomey, Jr., Timothy J., Kelley, Craig A., Reeves, Kenneth E., Maher, David P., Cheung, Leland, Seidel, Sam, Decker, Marjorie C.",Cambridge_11032009_CityCouncil_tab1,1596.0,21,20,94.37793795048574,16073.0,15955.0,14432.0,475.0,1597.0,14358.0,12813.0,89.0,47.0,81.0,29.0,1523.0,0.0,0.0,1523.0,0.0,0.0,497.0,557.0
Minneapolis BOE 2009,Minneapolis,MN,2009,11/6/2009,Board of Estimate and Taxation,stv_fractional_ballot,False,False,3,2,1,"Carol Becker, David Wheeler",Minneapolis_11062009_BoardofEstimateandTaxation_tab1,10696.0,6,7,84.15508321386275,45968.0,32086.0,20512.966521193277,11033.0,14242.0,17844.0,11033.0,13882.0,0.0,0.0,0.0,11573.03347880672,0.0,0.0,8999.772882166557,2573.2605966401625,88.0,1.0,89.0
