Precinct,1st Choice,2nd Choice,3rd Choice,count
MINNEAPOLIS W-6 P-02,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Mohamud Noor,Abdi Warsame,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,Abdi Warsame,undervote,1
MINNEAPOLIS W-6 P-09,Mohamud Noor,Abdi Warsame,undervote,1
MINNEAPOLIS W-6 P-03,Mohamud Noor,Abdi Warsame,undervote,1
MINNEAPOLIS W-6 P-06,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-09,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-01,Abdi Warsame,Abdi Warsame,Mohamud Noor,1
MINNEAPOLIS W-6 P-06,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-07,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Warsame,Mohamud Noor,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-07,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,Abdi Warsame,Abdi Warsame,1
MINNEAPOLIS W-6 P-01,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-09,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,Abdi Warsame,UWI,1
MINNEAPOLIS W-6 P-03,UWI,Abdi Warsame,undervote,1
MINNEAPOLIS W-6 P-03,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-09,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,Abdi Warsame,undervote,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,Abdi Warsame,undervote,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-04,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-06,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-08,Mohamud Noor,Mohamud Noor,Mohamud Noor,1
MINNEAPOLIS W-6 P-02,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-04,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-09,Mohamud Noor,Mohamud Noor,Mohamud Noor,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,Abdi Warsame,undervote,1
MINNEAPOLIS W-6 P-09,Abdi Warsame,Mohamud Noor,Fadumo Yusuf,1
MINNEAPOLIS W-6 P-03,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-07,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-05,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-09,Mohamud Noor,Abdi Warsame,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-08,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-05,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-09,Abdi Warsame,UWI,UWI,1
MINNEAPOLIS W-6 P-06,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,Mohamud Noor,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-01,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-09,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-08,Abdi Warsame,Abdi Warsame,Abdi Warsame,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,Mohamud Noor,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-04,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-01,Mohamud Noor,Mohamud Noor,Mohamud Noor,1
MINNEAPOLIS W-6 P-08,Abdi Warsame,Mohamud Noor,Fadumo Yusuf,1
MINNEAPOLIS W-6 P-06,Abdi Warsame,Abdi Warsame,Abdi Warsame,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,Abdi Warsame,Abdi Warsame,1
MINNEAPOLIS W-6 P-02,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-06,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Warsame,Abdi Warsame,Abdi Warsame,1
MINNEAPOLIS W-6 P-06,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-08,Abdi Warsame,Mohamud Noor,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-09,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-09,Mohamud Noor,Abdi Warsame,Abdi Warsame,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-08,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Warsame,Abdi Warsame,Abdi Warsame,1
MINNEAPOLIS W-6 P-06,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-06,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,Abdi Warsame,undervote,1
MINNEAPOLIS W-6 P-03,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-04,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-06,Abdi Warsame,Mohamud Noor,undervote,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-08,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-06,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-06,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-01,Abdi Warsame,Mohamud Noor,undervote,1
MINNEAPOLIS W-6 P-03,Mohamud Noor,Mohamud Noor,Mohamud Noor,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,Fadumo Yusuf,Abdi Warsame,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,Abdi Warsame,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-08,Abdi Warsame,Fadumo Yusuf,undervote,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-08,Abdi Warsame,Mohamud Noor,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Warsame,Mohamud Noor,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-09,Mohamud Noor,Abdi Warsame,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-09,Mohamud Noor,Abdi Warsame,Fadumo Yusuf,1
MINNEAPOLIS W-6 P-02,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-04,Mohamud Noor,Fadumo Yusuf,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-06,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Mohamud Noor,Mohamud Noor,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,Mohamud Noor,Fadumo Yusuf,1
MINNEAPOLIS W-6 P-09,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-04,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Mohamud Noor,Abdi Warsame,undervote,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,Abdi Warsame,Fadumo Yusuf,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,Mohamud Noor,Mohamud Noor,1
MINNEAPOLIS W-6 P-06,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-06,Mohamud Noor,Abdi Warsame,Fadumo Yusuf,1
MINNEAPOLIS W-6 P-09,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-06,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,Abdi Warsame,Fadumo Yusuf,1
MINNEAPOLIS W-6 P-04,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,Mohamud Noor,Mohamud Noor,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,Abdi Warsame,Abdi Warsame,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-07,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-06,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-01,Mohamud Noor,Abdi Warsame,undervote,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-04,Abdi Warsame,Abdi Warsame,Abdi Warsame,1
MINNEAPOLIS W-6 P-05,undervote,Mohamud Noor,undervote,1
MINNEAPOLIS W-6 P-03,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-09,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-04,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-08,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-09,Abdi Warsame,Mohamud Noor,undervote,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,Abdi Warsame,Fadumo Yusuf,1
MINNEAPOLIS W-6 P-02,Abdi Warsame,Mohamud Noor,undervote,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-06,Abdi Warsame,Mohamud Noor,undervote,1
MINNEAPOLIS W-6 P-03,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-05,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-09,Mohamud Noor,Abdi Warsame,UWI,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,Mohamud Noor,Fadumo Yusuf,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-04,Mohamud Noor,Abdi Warsame,undervote,1
MINNEAPOLIS W-6 P-07,Abdi Warsame,Mohamud Noor,undervote,1
MINNEAPOLIS W-6 P-07,Abdi Warsame,Mohamud Noor,Fadumo Yusuf,1
MINNEAPOLIS W-6 P-01,Mohamud Noor,Abdi Warsame,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,Mohamud Noor,undervote,1
MINNEAPOLIS W-6 P-08,Abdi Warsame,Abdi Warsame,Mohamud Noor,1
MINNEAPOLIS W-6 P-02,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-06,Abdi Warsame,Fadumo Yusuf,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-01,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-08,Abdi Warsame,Abdi Warsame,Abdi Warsame,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Abdi Warsame,Mohamud Noor,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-06,Abdi Warsame,Abdi Warsame,Abdi Warsame,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-04,Mohamud Noor,Fadumo Yusuf,undervote,1
MINNEAPOLIS W-6 P-03,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-09,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,Mohamud Noor,Fadumo Yusuf,1
MINNEAPOLIS W-6 P-06,Mohamud Noor,Mohamud Noor,Mohamud Noor,1
MINNEAPOLIS W-6 P-03,Mohamud Noor,Mohamud Noor,Mohamud Noor,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,Abdi Warsame,undervote,1
MINNEAPOLIS W-6 P-02,Mohamud Noor,undervote,undervote,1
MINNEAPOLIS W-6 P-09,Mohamud Noor,Abdi Warsame,undervote,1
MINNEAPOLIS W-6 P-03,Abdi Warsame,undervote,undervote,1
