candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer,r8_percent,r8_count,r8_transfer
JANE KIM,24.195,60738.0,0.0,24.195,60738.0,91,24.245,60829.0,593,24.496,61422.0,421,24.879,61843.0,1418,25.741,63261.0,2782,27.806,66043.0,-66043,0.0,0.0,0.0
LONDON BREED,36.697,92121.0,3,36.698,92124.0,119,36.766,92243.0,199,36.867,92442.0,1163,37.657,93605.0,2787,39.222,96392.0,6375,43.267,102767.0,13210,50.555,115977.0,41349
MICHELLE BRAVO,0.359,900.0,0,0.359,900.0,-900,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
AMY FARAH WEISS,0.667,1675.0,0,0.667,1675.0,60,0.692,1735.0,-1735,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
MARK LENO,24.465,61416.0,0,24.465,61416.0,117,24.526,61533.0,348,24.679,61881.0,980,25.289,62861.0,1267,26.094,64128.0,4579,28.927,68707.0,44724,49.445,113431.0,-113431
ELLEN LEE ZHOU,3.815,9576.0,0,3.815,9576.0,111,3.861,9687.0,142,3.92,9829.0,808,4.279,10637.0,-10637,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ANGELA ALIOTO,6.992,17552.0,0,6.992,17552.0,185,7.07,17737.0,192,7.15,17929.0,1697,7.895,19626.0,2355,8.944,21981.0,-21981,0.0,0.0,0,0.0,0.0,0
RICHIE GREENBERG,2.809,7051.0,0,2.809,7051.0,77,2.841,7128.0,114,2.888,7242.0,-7242,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
writeIns,0.001,3.0,-3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
exhaust,0.0,0.0,0,0.0,0.0,140,0.0,140.0,147,0.0,287.0,2173,0.0,2460.0,2810,0.0,5270.0,8245,0.0,13515.0,8109,0.0,21624.0,72082
colsum,100.00000000000001,251032.0,0.0,100.0,251032.0,0,100.00099999999999,251032.0,0,100.00000000000001,251032.0,0,99.999,251032.0,0,100.00099999999999,251032.0,0,100.0,251032.0,0,100.0,251032.0,0.0
