candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer
JULIAN DAVIS,15.199,5342.0,59,15.391,5401.0,115,15.766,5516.0,235,16.575,5751.0,743,19.386,6494.0,-6494,0.0,0.0,0.0,0.0,0.0,0.0
JOHN RIZZO,16.169,5683.0,54,16.349,5737.0,114,16.723,5851.0,229,17.524,6080.0,1253,21.891,7333.0,1672,28.364,9005.0,-9005,0.0,0.0,0.0
ANDREW ''ELLARD'' RESIGNATO,2.225,782.0,49,2.368,831.0,-831,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
DANIEL EVERETT,3.741,1315.0,57,3.91,1372.0,76,4.139,1448.0,-1448,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
CHRISTINA OLAGUE,19.788,6955.0,53,19.971,7008.0,82,20.265,7090.0,206,21.028,7296.0,704,23.882,8000.0,1621,30.304,9621.0,2047,43.843,11668.0,-11668
THEA SELBY,13.481,4738.0,103,13.796,4841.0,150,14.265,4991.0,200,14.961,5191.0,-5191,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
LONDON BREED,28.002,9842.0,59,28.215,9901.0,190,28.842,10091.0,287,29.911,10378.0,1293,34.841,11671.0,1451,41.332,13122.0,1823,56.157,14945.0,2987
HOPE JOHNSON,1.394,490.0,-490,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
exhaust,0.0,0.0,56,0.0,56.0,104,0.0,160.0,291,0.0,451.0,1198,0.0,1649.0,1750,0.0,3399.0,5135,0.0,8534.0,8681
colsum,99.999,35147.0,0,100.0,35147.0,0,100.0,35147.0,0,99.99900000000001,35147.0,0,100.0,35147.0,0,100.0,35147.0,0.0,100.0,35147.0,0.0
